client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
1362,Amex,Credit,393314135668401,2024-04-01,866,YES,2,33900,1991-01-01,2014
550,Mastercard,Credit,5278231764792290,2024-06-01,396,YES,1,11600,1994-01-01,2013
556,Mastercard,Debit,5889825928297670,2021-09-01,422,YES,1,19948,1995-01-01,2011
1937,Visa,Credit,4289888672554710,2020-04-01,736,YES,2,16400,1995-01-01,2015
1981,Mastercard,Debit,5433366978583840,2024-03-01,530,YES,2,19439,1997-01-01,2007
619,Visa,Debit,4657824650820460,2024-04-01,245,YES,2,21883,1997-01-01,2012
1046,Amex,Credit,394584924614148,1999-02-01,302,YES,2,9400,1998-01-01,2011
511,Mastercard,Debit,5585238056278280,2005-03-01,749,YES,1,9664,1998-01-01,2011
1107,Mastercard,Credit,5462760953855570,2021-09-01,665,NO,2,10300,1998-01-01,2006
1046,Amex,Credit,357982644067712,2020-09-01,72,YES,1,13000,1999-01-01,2005
1783,Mastercard,Debit,5513208341097350,2023-12-01,789,YES,1,16597,1999-01-01,2009
1579,Mastercard,Debit,5927292790575650,2023-11-01,964,YES,2,2143,1999-01-01,2013
1156,Visa,Credit,4008696033204120,2023-02-01,124,NO,1,57200,1999-01-01,2011
858,Mastercard,Credit,5106045376475660,2021-03-01,686,YES,1,14600,2000-01-01,2012
641,Mastercard,Debit,5206583278012750,2021-07-01,19,YES,1,24819,2000-01-01,2011
1228,Mastercard,Debit,5047012325844660,2024-09-01,300,YES,1,5966,2000-01-01,2020
1201,Visa,Debit,4817273521248160,2023-10-01,706,YES,2,55693,2000-01-01,2006
804,Visa,Debit,4214048661117540,2022-07-01,799,YES,2,18744,2000-01-01,2010
11,Mastercard,Credit,5919854740342960,2004-11-01,604,YES,2,18300,2001-01-01,2011
115,Mastercard,Debit,5610743457688590,2023-01-01,310,YES,2,46184,2001-01-01,2014
1728,Visa,Credit,4665365862082530,2021-06-01,412,YES,1,3800,2001-01-01,2003
1596,Visa,Credit,4262822146225760,2012-06-01,826,YES,1,6600,2001-01-01,2010
1234,Visa,Debit (Prepaid),4634294164066040,2023-01-01,50,NO,1,65,2001-01-01,2007
318,Visa,Credit,4234128216675930,2008-07-01,678,YES,1,7500,2001-01-01,2017
1274,Visa,Debit,4181524038316530,2021-04-01,2,NO,2,15160,2001-01-01,2007
528,Visa,Debit,4287552229905450,2003-04-01,482,YES,1,7030,2001-01-01,2011
1195,Mastercard,Credit,5899977049289040,2020-10-01,747,YES,2,10200,2002-01-01,2011
68,Visa,Credit,4099623033306950,2021-09-01,74,YES,2,9900,2002-01-01,2019
1852,Visa,Debit,4013876625955760,2023-10-01,543,YES,2,36425,2002-01-01,2004
316,Visa,Credit,4934996934968530,2021-04-01,547,YES,3,1200,2002-01-01,2011
261,Visa,Credit,4572295668772640,2022-04-01,795,YES,2,14200,2002-01-01,2006
892,Visa,Debit,4479062988731370,2021-11-01,628,YES,2,14340,2002-01-01,2009
598,Visa,Debit (Prepaid),4405540956453720,2024-10-01,340,YES,2,32,2002-01-01,2009
